StoreID,Previous_Month_Sales,Current_Month_Sales,Next_Month_Sales
1,12745.071229516849,13040.749160837124,13169.40721533732
2,17723.47139765763,17113.817018913043,16525.09233566608
3,21158.425631014783,20144.05789863502,21090.64702554404
4,26918.586822882273,27813.47543188371,27013.390524097355
5,17073.164614375077,16738.94417332581,16780.38382602809
6,23835.675616074357,23673.461970103905,23179.22906910515
7,22467.922199163942,22000.914412624883,21706.89824782924
9,18628.49466519055,18546.659658725082,19075.56580860568
10,18135.056409375848,18302.650751311976,17472.53478187322
11,15150.503627573085,15313.43949445904,14808.898604779186
12,16798.72262016239,17108.210571147465,17005.82219722137
13,17416.612500413445,16758.331140045368,16750.248446298014
14,19645.089824206378,19275.19454189371,19313.876043121025
18,21947.890875072444,22050.41008644949,21355.501237191536
20,19476.933159990822,18675.44275675384,18107.6772917575
21,18342.73656237994,17508.55895885261,17202.737538637142
23,15042.956019265144,15537.47440847067,15314.905256410979
25,23200.38947901323,22692.14900934685,22789.035597461094
27,18648.16793878959,17854.78283417863,18724.108885958703
29,17229.835439167367,17698.908696582916,17165.668332159028
30,20061.999044991902,20606.22158860671,19728.488559284764
32,27328.200297790496,26941.412605856098,25906.509589655194
33,25828.15857850891,25391.399315504423,24283.212894923912
34,19951.09025424472,19573.979378334858,19231.793573371113
36,19625.051644788397,20384.958651846453,20328.31889167524
37,20712.480057141645,19924.56539767916,20349.44636855303
38,12542.09340826262,12881.942976418983,12873.950499035322
40,21076.07313293194,21123.98501038928,20970.922766183074
43,25217.617670595428,24749.46768139043,24770.679685789226
44,17401.985299068267,18111.23187783376,17657.169220687807
46,28694.73511185379,27916.52863154712,26735.603385648705
48,23704.32445431588,23205.944476697823,22419.77647691075
50,19830.80423540415,20433.010386278645,19792.578662063414
51,18657.50221931937,19389.919257873426,19466.203547290243
52,10946.920359183972,10649.093148365202,10571.46955349427
53,11508.506780103347,11874.494289082548,12302.843614160034
54,12007.670184963692,11908.500041454046,11577.57212640114
58,11648.11929993728,11205.33394480377,11023.376321604563
60,17677.428576667982,17710.645564045935,18070.205246423346
61,18808.101713629076,18551.61488271125,19426.84683343152
62,14162.457569401917,13857.738832498655,13215.968859150445
63,17946.972249101567,18143.607055244418,18148.467769720053
65,17615.278070437755,16989.75051320261,16971.831016053893
68,25753.86835583403,27004.606142045577,26308.036562120695
69,20285.64562903004,19753.426448136823,20204.231933793497
70,19503.86606537355,19245.992058270855,19500.627754757552
71,19173.71418760054,18388.14750272925,19004.706677422066
72,22380.911251619957,21979.80070558109,21290.774638951098
73,18199.30273017528,18522.45748770109,17627.059348928982
78,23741.310864709503,23770.02137034833,23119.901243505774
80,15875.39257254779,16178.513727476886,15995.268352005418
81,26183.981076587956,27327.51405265407,26336.948903389755
83,16433.493415327524,17131.413393278763,17777.849038510973
84,17355.87696758865,16935.763434753597,17206.708630450554
85,12341.189901906195,12377.782243725478,12058.252630730398
86,20614.285508564855,19775.495936855456,20561.009797601553
87,18519.765588496848,18221.652534845904,17946.887461146933
88,26954.557179443276,27563.610706056057,28658.189967327417
89,18500.985700691752,18763.75824614637,17983.448530039685
90,18692.89641899395,18060.382479134834,18780.186587480865
91,12439.608709948021,11823.924686700575,11422.866681263104
92,10928.472872960449,10981.731462469379,11192.465615469242
93,22021.74125699338,22488.99684825596,21898.096403939875
94,26641.384021584574,26176.22465242222,26821.44609194828
95,19926.752258488643,20240.82356424992,20379.085803053284
99,18825.561853872998,18060.63177476884,17821.718157712385
101,22776.21392593619,23853.552884362936,23598.55297655092
102,16368.379430069122,17010.096107008176,17233.164170163618
103,25032.504729694767,25225.014415258887,25206.140287131035
104,20907.068154314635,20269.910591853477,20720.81904058542
105,22322.76875484722,23305.994267306967,24363.91994864588
106,18964.94483048637,19751.732857752788,19495.273791107003
109,26183.09406143386,27396.994608322635,28364.134423135256
110,17854.342174686255,17487.344193148707,17286.410636297434
111,17106.97009586596,16541.57232597518,16635.53054509133
112,19712.797588646943,20572.580666682294,20975.864547199213
113,22790.356409497166,23052.46197811136,24182.156752786923
114,18307.450211891057,17648.53581473895,17680.884967360264
117,18715.574720696568,19084.3010028716,19470.727723581673
118,19121.569052736468,18852.89408728927,18463.75497740585
119,19030.07053441732,19728.611745798466,20543.87798769905
120,26284.464877280523,26314.277765728966,26318.267785686334
122,26427.226276732916,26960.968713302365,27758.454403931457
123,20271.131280361198,21061.716228763802,20720.506225355966
124,23067.93696365607,23248.513099456653,22169.647886802602
126,24407.953483149977,24323.985285834868,24427.714032549557
128,19372.520380749025,18462.98103306779,17608.787871464017
129,14774.568257620696,15251.196657961978,15037.970655715942
130,18128.560038190924,18618.01947191819,18088.93450756084
133,10383.382833106041,10510.984718803165,10075.144072896815
134,18091.14367980763,18164.657262157118,18414.293967985814
137,16696.799304788365,17074.299467160286,17886.783557841714
138,13949.714826684785,14361.49115046455,14032.372090917388
141,18372.908629538855,18260.781378422264,17491.009792244473
142,12757.480918470686,12641.327811038896,12228.328451267616
143,27164.387985425303,26231.12023839503,25575.97938153127
147,21530.908480562193,21875.827986255757,21394.41516465414
148,18809.96342192191,19665.563351039604,20133.401039669367
149,30305.390492531584,30061.735342161486,29303.37091929697
150,13548.697890826721,13353.559624328813,13697.875965327537
151,26109.548570365572,26042.117603982468,24994.79259551937
152,19549.268106858675,19532.877756340433,19481.060490496893
153,17494.86369721368,17317.299113450634,17517.920193479917
154,15504.433636070302,15713.888690523485,14999.38447267654
159,20882.54657813223,20889.095884720206,21633.770932171363
160,15128.275697641122,15368.35179870025,14850.337568315947
161,25497.649238933674,24290.36438669246,24498.71639915374
162,16799.56624568241,17539.133956099544,17671.509127698697
163,21172.033632290702,21083.646511634248,21179.823337727532
